Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [2525 Mini Shop],Price [2525 Mini Shop],In stock [2525 Mini Shop],Low stock [2525 Mini Shop],"Tax - ""消費税"" (8%)"
.bhaesajbody-whitening-lotion,10537,.BHAESAJBody Whitening Lotion,Cosmetic,,N,,,,,,,0,8850233260069,,,Y,Y,350,0.000,,Y
.clara-olepasta-saucesweet-style,10527,.Clara OlePASTA SAUCESweet Style,,,N,,,,,,,0,751075160303,,,Y,Y,185,0.000,,Y
.colgate®150gproven-cavity-protection,10544,.Colgate®150gProven Cavity Protection,Cosmetic,,N,,,,,,,0,8850006202012,,,Y,Y,950,0.000,0.000,Y
.crispy-frybreading-mixoriginal.粉末調味料,10520,.CRISPY FRYBREADING MIXOriginal.粉末調味料,ฟิลิบปิน,,N,,,,,,,88,4801958390108,,,Y,Y,150,0.000,0.000,Y
.maas-sadobo粉末調味料,10514,.Maas SADOBO粉末調味料,ฟิลิบปิน,,N,,,,,,,0,025407803504,,,Y,Y,190,13.000,,Y
.taoyeablok-deodorant--powder--แป้งระงับกลิ่นกาย,10552,.TAOYEABLOK DEODORANT -POWDER- แป้งระงับกลิ่นกาย,Cosmetic,,N,,,,,,,0,8857200098489,,,Y,Y,500,49.000,0.000,Y
.การ์นิเย่-ไบรท์-คอมพลีท-วิตามินซี-เซรั่ม-ครีม,10548,.การ์นิเย่ ไบรท์ คอมพลีท วิตามินซี เซรั่ม ครีม,Cosmetic,,N,,,,,,,0,8992304000010,,,Y,Y,230,0.000,0.000,Y
.ซันไล,10479,.ซันไล,,,N,,,,,,,0,4942355108375,,,Y,Y,130,0.000,0.000,Y
.นีเวียเพิร์ล-แอนด์-บิวตี้-โรลออน,10560,.นีเวียเพิร์ล แอนด์ บิวตี้ โรลออน,Cosmetic,,N,,,,,,,900,8850029212845,,,Y,Y,1200,1.000,,Y
.ยาสีฟันแอมเวย์薬用フッ素配合ハミガキ,10490,.ยาสีฟันแอมเวย์薬用フッ素配合ハミガキ,Cosmetic,,N,,,,,,,550,124114J,,,Y,Y,790,1.000,,Y
.สบู่อิงอร,10473,.สบู่อิงอร,Cosmetic,,N,,,,,,,0,8858587007132,,,Y,Y,550,0.000,0.000,Y
.แป้งเด็กแคร์,10471,.แป้งเด็กแคร์,Cosmetic,,N,,,,,,,800,8850006577073,,,Y,Y,1200,5.000,,Y
**ผักชีลาว,10898,**ผักชีลาว,ของสด,,N,,,,,,,0,,,,Y,Y,500,0.000,,Y
555hotsardines-in-tomato-sauce,10811,555HOTSARDINES IN TOMATO SAUCE,ฟิลิบปิน,,N,,,,,,,121,748485200026,,,Y,Y,200,0.000,0.000,Y
alaskaclassic-evaporated-filled-milk,10111,ALASKAClassic Evaporated Filled Milk,ฟิลิบปิน,,N,,,,,,,0,4800575110373,,,Y,Y,385,0.000,,Y
anchà-bôngruốc-thịt-đậm-đà,10782,AnCHÀ BÔNGRUỐC THỊT ĐẬM ĐÀ,สินค้าเวียดนาม,,N,,,,,,,390,8936036029932,,,Y,Y,650,6.000,0.000,Y
angelfuaporated-filled-milk,10110,AngelFuaporated Filled Milk,ฟิลิบปิน,,N,,,,,,,0,748485400617,,,Y,Y,275,0.000,0.000,Y
antidiarrheal,10877,ANTIDIARRHEAL,,,N,,,,,,,400,8857122450297,,,Y,Y,600,2.000,0.000,Y
babi-milddouble-milk,10742,Babi MildDouble Milk,Cosmetic,,N,,,,,,,800,8851123705813,,,Y,Y,1200,4.000,,Y
bagoong,10296,Bagoong,เครื่องปรุง,,N,,,,,,,0,4809012293044,,,Y,Y,420,0.000,0.000,Y
bagoongsautéed-shrimp-paste(classic),10809,BAGOONGSAUTÉED SHRIMP PASTE(CLASSIC),ฟิลิบปิน,,N,,,,,,,329,4809012293020,,,Y,Y,470,2.000,0.000,Y
baking-soda,10509,Baking soda,เครื่องใช้ในครัว,,N,,,,,,,522,8850358371350,,,Y,Y,680,3.000,,Y
banh-da-nem,10334,BANH DA NEM,สินค้าเวียดนาม,,N,,,,,,,105,8901016867385,,,Y,Y,150,8.000,,Y
